date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2021-10-06,3515.48,3538.7,3502.8,3517.71,3517.71,11513.0,0.0,1.0
2021-10-05,3386.31,3545.0,3363.78,3515.27,3515.27,393900.0,0.0,1.0
2021-10-04,3417.73,3437.19,3270.0,3386.31,3386.31,485204.0,0.0,1.0
2021-10-03,3387.77,3488.0,3342.51,3417.73,3417.73,360586.0,0.0,1.0
2021-10-02,3309.91,3469.0,3257.0,3387.76,3387.76,422551.0,0.0,1.0
2021-10-01,3000.62,3330.0,2969.07,3309.91,3309.91,648714.0,0.0,1.0
2021-09-30,2850.45,3048.42,2837.19,3000.61,3000.61,506896.0,0.0,1.0
2021-09-29,2805.15,2950.0,2782.0,2850.45,2850.45,411305.0,0.0,1.0
2021-09-28,2924.76,2970.82,2789.0,2804.91,2804.91,511325.0,0.0,1.0
2021-09-27,3059.36,3164.94,2922.71,2925.59,2925.59,510130.0,0.0,1.0
2021-09-26,2921.84,3115.51,2738.17,3059.37,3059.37,703594.0,0.0,1.0
2021-09-25,2928.22,2967.52,2801.57,2921.73,2921.73,491974.0,0.0,1.0
2021-09-24,3152.41,3158.52,2733.0,2928.53,2928.53,932090.0,0.0,1.0
2021-09-23,3076.92,3174.5,3033.85,3152.5,3152.5,459293.0,0.0,1.0
2021-09-22,2766.72,3088.88,2737.54,3076.92,3076.92,677457.0,0.0,1.0
2021-09-21,2977.32,3105.83,2652.0,2765.9,2765.9,971519.0,0.0,1.0
2021-09-20,3328.57,3347.82,2913.39,2977.28,2977.28,917939.0,0.0,1.0
2021-09-19,3435.64,3456.53,3277.74,3328.62,3328.62,312948.0,0.0,1.0
2021-09-18,3399.89,3541.96,3368.88,3435.64,3435.64,315162.0,0.0,1.0
2021-09-17,3567.97,3594.17,3350.07,3399.81,3399.81,398888.0,0.0,1.0
2021-09-16,3613.55,3676.28,3481.14,3567.98,3567.98,467985.0,0.0,1.0
